"","rAc","res"
"3319",1.00908175730496,-0.0252822470481104
"3320",0.282419693808954,0.0681144483257185
"3321",0.864042877939699,-0.0257380161951982
"3322",0.343413303046046,0.0661243654897178
"3323",0.764871683858327,0.00393550589433368
"3324",0.934971089232853,-0.00387598606970539
"3325",0.376874377349831,0.059382351444699
"3326",0.831578103564705,-0.00503775801558959
"3327",0.991299391176469,-0.035943112906715
"3328",0.685599280505555,0.00396509904248197
"3329",0.512049492693415,0.0249686160865541
"3330",0.583495996003106,0.031346629004259
"3331",0.425430679160452,0.0560129828719939
"3332",1.13951464317045,-0.0408738052534928
"3333",0.683255434042648,-0.00275938201811036
"3334",0.477281988379054,0.0366956515146057
"3335",0.627830754151875,0.0190394976376495
"3336",0.53859128139265,0.026253742040638
"3337",0.426011406864779,0.0558744870310907
"3338",0.801365364755144,-0.00250446366681008
"3339",0.840906115833312,-0.00796537887791405
"3340",0.444070086324564,0.0492378596001293
"3341",0.667984795662741,0.0258037229515253
"3342",0.854666329344456,-0.0150864408172147
"3343",0.772822782907282,0.025320450202314
"3344",0.55468893627731,0.0473348642141222
"3345",0.59817781209331,0.0250082054292857
"3346",0.850535425654924,-0.0105533606900774
"3347",0.579128021584832,0.0354696102261395
"3348",0.848441735446074,-0.00836589156677842
"3349",0.637403937794224,0.00943916172156924
"3350",0.668449489631696,0.0333879587199951
"3351",0.763883398789371,0.00763821391066059
"3352",0.653259599224404,0.0126600470422235
"3353",0.803141015537642,0.0122472161228508
"3354",0.738282567028783,0.00676336335291552
"3355",0.993276897975315,-0.0265646717421078
"3356",0.841077798011409,0.00209786505241882
"3357",0.401396885430549,0.059470779724882
"3358",0.60043106136154,0.022914836925774
"3359",0.795972783375212,0.00445850289862756
"3360",0.856230963878196,-0.00332723765131816
"3361",0.607256649459167,0.0198300486719829
"3362",0.788865415974164,-0.0012188572422096
"3363",0.57284328890603,0.0219569164223037
"3364",0.562304502326038,0.0265604347498865
"3365",0.573141310558964,0.0320473508737143
"3366",0.659334622458273,0.0146929425724324
"3367",0.665984328356026,0.0132254250494272
"3368",0.608454788765051,0.0226683851192554
"3369",0.799615942452608,0.00744455514652954
"3370",0.680448330180939,0.0133220466729066
"3371",0.576996929845195,0.0229471299025733
"3372",0.806174145681234,0.00420265912853895
"3373",0.460310138278791,0.0502169208418176
"3374",0.465317767404105,0.0516271874814565
"3375",0.652456303014819,0.0216892821058573
"3376",0.864806622193173,-0.0120043832685773
"3377",0.604500955860632,0.0266668970143822
"3378",0.581036314006831,0.0357973320229031
"3379",0.58961741521353,0.0268738825689982
"3380",0.747572474089119,-0.00128000231983319
"3381",0.473323697624707,0.0360221795843485
"3382",1.04954927986067,-0.0347538394661616
"3383",0.647772003281395,0.0271901896045039
"3384",0.716281848157696,0.0120080701015615
"3385",0.875018718456465,-0.0164636054442445
"3386",0.815049312749846,-0.0194039711714286
