"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"182","Fitzroy East",12,5,28,0.5,0.982456140350877
"183","Fitzroy East",14,2,83.5,0,1
"184","Fitzroy East",14,5,32.5,0,1
"185","Fitzroy West",1,2,15.5,0,1
"186","Fitzroy West",1,5,20,1,0.952380952380952
"187","Fitzroy West",2,2,26.5,0,1
"188","Fitzroy West",2,5,25,1,0.961538461538462
"189","Fitzroy West",3,2,22.5,0,1
"190","Fitzroy West",3,5,14,1,0.933333333333333
"191","Fitzroy West",4,2,23.5,0,1
"192","Fitzroy West",4,5,29,0,1
"193","Fitzroy West",5,2,39,0,1
"194","Fitzroy West",5,5,26,0.5,0.981132075471698
"195","Fitzroy West",6,2,36.5,0,1
"196","Fitzroy West",6,5,31,1,0.96875
"197","Fitzroy West",7,2,25,0,1
"198","Fitzroy West",7,5,17,1,0.944444444444444
"199","Fitzroy West",8,2,30,0,1
"200","Fitzroy West",8,5,23,1.5,0.938775510204082
"201","Fitzroy West",9,2,26.5,0.5,0.981481481481482
"202","Fitzroy West",9,5,24,0,1
"203","Fitzroy West",10,2,37.5,0,1
"204","Fitzroy West",10,5,18,1,0.947368421052632
"205","Fitzroy West",11,2,35,0.5,0.985915492957746
"206","Fitzroy West",11,5,35,1,0.972222222222222
"207","Fitzroy West",12,2,23.5,0.5,0.979166666666667
"208","Fitzroy West",12,5,16.5,0,1
"209","Fitzroy West",13,2,22.5,0,1
"210","Fitzroy West",13,5,21,2.5,0.893617021276596
"211","Fitzroy West",14,2,32.5,0.5,0.984848484848485
"212","Fitzroy West",14,5,22.5,0.5,0.978260869565217
"213","Franklands East",1,2,26,0,1
"214","Franklands East",1,5,22,1.5,0.936170212765957
"215","Franklands East",2,2,3,0,1
"216","Franklands East",2,5,21.5,1.5,0.934782608695652
"217","Franklands East",3,2,17.5,0,1
"218","Franklands East",3,5,12.5,1,0.925925925925926
"219","Franklands East",5,2,73.5,0,1
"220","Franklands East",5,5,62,4.5,0.932330827067669
"221","Franklands East",7,2,42.5,0,1
"222","Franklands East",7,5,33,4,0.891891891891892
"223","Franklands East",9,2,50.5,0,1
"224","Franklands East",9,5,62.5,5.5,0.919117647058823
"225","Franklands East",11,2,38,0.5,0.987012987012987
"226","Franklands East",11,5,29.5,11,0.728395061728395
"227","Franklands East",12,2,25,1,0.961538461538462
"228","Franklands East",12,5,8.5,7,0.548387096774194
"229","Franklands East",13,2,39.5,0.5,0.9875
"230","Franklands East",13,5,13,5.5,0.702702702702703
"231","Franklands East",14,2,36,1,0.972972972972973
"232","Franklands East",14,5,16.5,11.5,0.589285714285714
"233","Franklands West",1,2,1,0,1
"234","Franklands West",1,5,0,0,NA
"235","Franklands West",2,2,7.5,0,1
"236","Franklands West",2,5,0,0,NA
"237","Franklands West",3,2,7,0,1
"238","Franklands West",3,5,5.5,0,1
"239","Franklands West",4,2,13.5,0,1
"240","Franklands West",4,5,1,0,1
"241","Franklands West",5,2,2.5,0,1
"242","Franklands West",5,5,4.5,0,1
"243","Franklands West",6,2,7.5,0,1
"244","Franklands West",6,5,2.5,0,1
"245","Franklands West",7,2,9,0.5,0.947368421052632
"246","Franklands West",7,5,1.5,0,1
"247","Franklands West",8,2,7,0.5,0.933333333333333
"248","Franklands West",8,5,2,0,1
"249","Franklands West",9,2,13.5,0,1
"250","Franklands West",9,5,2.5,0,1
"251","Franklands West",10,2,9,0,1
"252","Franklands West",10,5,4,0,1
"253","Franklands West",12,2,10,0,1
"254","Franklands West",12,5,1.5,0,1
"255","Franklands West",13,2,5,0,1
"256","Franklands West",13,5,0.5,0,1
"257","Franklands West",14,2,1.5,0,1
"258","Franklands West",14,5,0,0,NA
"259","Havannah",1,2,3.5,1,0.777777777777778
"260","Havannah",1,5,0,2,0
"261","Havannah",2,2,4,0,1
"262","Havannah",2,5,2.5,5,0.333333333333333
"263","Havannah",3,2,4.5,0.5,0.9
"264","Havannah",3,5,6,3,0.666666666666667
"265","Havannah",5,2,18,1.5,0.923076923076923
"266","Havannah",5,5,18,3.5,0.837209302325581
"267","Havannah",7,2,25,2,0.925925925925926
"268","Havannah",7,5,6.5,3,0.684210526315789
"269","Havannah",9,2,10.5,1,0.91304347826087
"270","Havannah",9,5,10,9,0.526315789473684
"271","Havannah",11,2,15.5,2,0.885714285714286
"272","Havannah",11,5,12.5,14.5,0.462962962962963
"273","Havannah",12,2,11,0,1
