P_CODE,NRM_REGION,DEPTH,A_SECTOR,SHELF,FULLREEF_ID,REEF_ID,REEF_NAME,REEF,AIMS_REEF_NAME,subregion
RM,Burdekin,5,TO,I,18051S,18051,PANDORA REEF,Pandora North,Pandora Reef,Burdekin
RM,Burdekin,5,TO,I,18065S,18065,HAVANNAH REEF,Havannah North,Havannah Island,Burdekin
RM,,5,TO,O,18086S,18086,CHICKEN REEF,Chicken,Chicken Reef,NA
RM,,5,TO,M,18096S,18096,DAVIES REEF,Davies,Davies Reef,NA
RAP,,5,TO,M,18043S,18043,FORE AND AFT REEF,Fore And Aft,Fore and Aft Reef,NA
RM,,5,WH,M,19138S,19138,19138S,Reef 19138,Reef 19-138,NA
RAP,,5,SW,M,21550S,21550,21550S,Reef 21550,Reef 21-550,NA
RAP,,5,CB,O,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,NA
RM,,5,CB,O,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,NA
RAP,,5,SW,M,21588S,21588,WADE REEF,Wade,Wade Reef,NA
RAP,,5,CB,O,23079S,23079,BOULT REEF,Boult,Boult Reef,NA
RAP,,5,CB,O,23080S,23080,HOSKYN ISLANDS REEF,Hoskyn Islands,Hoskyn Island,NA
RAP,,5,SW,M,22084S,22084,22084S,Reef 22084,Reef 22-084,NA
RAP,,5,PO,M,21062S,21062,21062S,Reef 21062,Reef 21-062,NA
RAP,,5,IN,M,16071S,16071,MOORE REEF,Moore,Moore Reef,NA
RM,,5,SW,O,21305S,21305,EAST CAY REEF,East Cay,East Cay,NA
RAP,,5,SW,O,21302S,21302,21302S,Reef 21302,Reef 21-302,NA
RM,,5,PC,M,13124S,13124,13124S,13124S,Reef 13-124,NA
RM,,5,CL,I,14123S,14123,MARTIN REEF(14123),Martin,Martin,NA
RM,,5,CA,M,16057S,16057,HASTINGS REEF,Hastings,Hastings Reef,NA
RM,,5,CA,M,16057S,16057,HASTINGS REEF,Hastings,Hastings Reef,NA
RM,,5,CA,M,16060S,16060,MICHAELMAS REEF,Michaelmas,Michaelmas Cay,NA
RMRAP,,5,CA,M,16064S,16064,ARLINGTON REEF,Arlington,Arlington Reef,NA
RM,,5,CL,O,14139S,14139,NO NAME REEF,No Name,No Name Reef,NA
RMRAP,,5,CA,O,15099C,15099,AGINCOURT REEFS (NO 1),Agincourt 1,Agincourt Reef No.1,NA
RM,,5,TO,M,18075S,18075,JOHN BREWER REEF,John Brewer,John Brewer Reef,NA
RAP,,5,TO,M,18077S,18077,GRUB REEF(18077),Grub,Grub Reef (18-077),NA
RAP,,5,TO,O,18083S,18083,FORK REEF,Fork,Fork Reef,NA
RAP,,5,TO,M,18091S,18091,LYNCHS REEF,Lynchs,Lynchs Reef,NA
RAP,,5,IN,M,17034S,17034,FEATHER REEF,Feather,Feather Reef,NA
RAP,,5,IN,M,17063A,17063,FARQUHARSON REEF (NO 1),Farquharson 1,Farquarson Reef,NA
RMRAP,,5,CB,O,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,NA
RM,,5,CB,O,23051S,23051,WRECK ISLAND REEF,Wreck,Wreck Island,NA
RM,,5,CB,O,23055S,23055,ONE TREE REEF,One Tree,One Tree Island,NA
RAP,,5,CB,O,23069S,23069,MAST HEAD REEF,Mast Head,Masthead Island,NA
RAP,,5,PO,M,20351B,20351,POMPEY REEF (NO 2),Pompey 2,Pompey Reef No.2,NA
RAP,,5,PO,M,21025S,21025,PENRITH REEF,Penrith,Penrith Island,NA
RAP,,5,PO,M,21060S,21060,21060S,Reef 21060,Reef 21-060,NA
RAP,,5,SW,M,21588S,21588,WADE REEF,Wade,Wade Reef,NA
RM,,5,CL,M,14114S,14114,MACGILLIVRAY REEF,Macgillivray,Macgillivray Reef,NA
RM,,5,CA,M,16015S,16015,MACKAY REEF,Mackay,Mackay Reef,NA
RAP,,5,PO,M,20309S,20309,TERN REEF(20309),Tern,Tern Island,NA
RAP,,5,SW,M,21584S,21584,JENKINS REEF,Jenkins,Jenkins Reef,NA
RM,,5,WH,O,19159S,19159,SLATE REEF,Slate,Slate Reef,NA
RMRAP,,5,TO,M,18032S,18032,RIB REEF,Rib,Rib Reef,NA
RMRAP,,5,SW,O,21305S,21305,EAST CAY REEF,East Cay,East Cay,NA
RMRAP,,5,SW,O,21305S,21305,EAST CAY REEF,East Cay,East Cay,NA
RM,,5,CL,O,14138S,14138,YONGE REEF,Yonge,Yonge Reef,NA
